04-14 12:40:32.988 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.991 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:32.999 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.001 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.005 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.007 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.007 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.008 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.014 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.027 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.033 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.033 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.035 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.035 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.036 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.038 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.040 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.041 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.042 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.042 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.044 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.046 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.047 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.049 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.050 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.051 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.052 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.053 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.058 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.059 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.060 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.062 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.064 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.071 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.079 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.081 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.084 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
04-14 12:40:33.086 13546 13609 D ActivityThread: Too many transaction errors, throttling freezer binder callback.
